"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"BRIX1"	1.92310916260885e-160	0.864206101427487	0.984	0.876	4.54065304383575e-156
"NUDT16"	2.52909761057755e-160	-0.706516560514467	0.261	0.803	5.97145236833466e-156
"PPIB"	8.1552011880292e-160	-0.556448467857821	0.998	1	1.92552455250557e-155
"SIRT7"	2.13472381537585e-159	0.830044401450858	0.958	0.722	5.04029640048391e-155
"NUDT16L1"	2.37111107242727e-159	0.896707892611924	0.95	0.697	5.59843035310803e-155
"HES4"	3.66772096050779e-159	-0.997368068531218	0.322	0.82	8.65985595985494e-155
"LAMTOR1"	8.63637692835567e-159	-0.681879717471414	0.756	0.984	2.03913495655406e-154
"DYNLT1"	1.06383422424183e-158	-0.716076695469262	0.768	0.984	2.5118189868574e-154
"PRPF31"	2.10073190882712e-158	-0.603528924344773	0.923	0.993	4.96003810993171e-154
"SCARA3"	4.71821530107091e-158	-0.871980478029284	0.336	0.84	1.11401781473585e-153
"RABAC1"	7.34430611081788e-158	-0.793057950844585	0.475	0.899	1.73406411582521e-153
"SSPN"	3.25694530810087e-157	-0.871437160013403	0.465	0.904	7.68997356695697e-153
"ALDH7A1"	4.23770910186611e-157	-0.780593794037896	0.51	0.909	1.00056549604161e-152
"STMN1"	8.73243895168502e-157	-0.962635931262438	0.593	0.917	2.06181616088235e-152
"CNBP"	1.351874546615e-156	0.625946488844771	1	1	3.19191099201267e-152
"PFDN2"	4.81575453108347e-156	0.662442025088237	0.998	0.995	1.13704780233412e-151
"C1orf43"	6.05283470145032e-156	-0.656303241554057	0.74	0.979	1.42913480135943e-151
"GATA2"	6.09526142171707e-156	1.13342709397237	0.75	0.199	1.43915217428162e-151
"TARS"	7.84545642798794e-156	-0.603642411527489	0.968	0.996	1.85239071721223e-151
"RPL27A"	8.1796380652919e-156	-0.439476164984908	1	1	1.93129434359607e-151
"QARS"	1.25711514324983e-155	-0.678696398527089	0.269	0.791	2.96817456472717e-151
"SNHG15"	3.60954806254469e-155	1.57607547757339	0.901	0.683	8.52250393047427e-151
"NOP53"	3.63966325242015e-155	-0.701665877122801	0.507	0.915	8.59360890528922e-151
"THRAP3"	3.92489268565057e-155	-0.689545094910354	0.72	0.972	9.26706412008956e-151
"EZR"	9.16828492084594e-155	-0.730440401824259	0.979	0.998	2.16472375266093e-150
"PSME1"	1.03132327224611e-154	-0.628530640658407	0.893	0.994	2.43505737810029e-150
"SHMT2"	1.28068509433896e-154	-0.738270864676925	0.428	0.88	3.02382557624372e-150
"TNNT1"	1.45393785639548e-154	-0.638046755215346	0.886	0.994	3.43289267273536e-150
"DHCR24"	2.426547202049e-154	-0.804687334196085	0.8	0.984	5.7293205987579e-150
"SMARCA1"	9.78170388291502e-154	-0.804297307445013	0.494	0.905	2.30955810379507e-149
"VAV3"	1.15698516051134e-153	-0.976303149571942	0.429	0.861	2.73175766248333e-149
"RPS2"	1.25920608084916e-153	-0.361381206049542	1	1	2.97311147749295e-149
"RESF1"	2.51562287660668e-153	-0.831982735254916	0.241	0.775	5.93963717395603e-149
"GALK1"	6.51419945847875e-153	-0.590353259384535	0.1	0.621	1.53806763414142e-148
"ECH1"	7.75415934458419e-153	-0.599658282194881	0.937	0.996	1.83083456284977e-148
"EIF3M"	1.77422928237127e-152	-0.501517593326535	0.995	1	4.1891327586068e-148
